Last updated in testsensors.m script on 07-May-2014
site_id, year, ts5, ts20, ts50, vwc5, vwc20, vwc50 
369,2011,0,0,1,0,0,1
371,2003,0,0,0,0,0,0
371,2004,0,0,0,0,0,0
371,2005,0,0,0,0,0,0
371,2006,0,0,0,0,0,0
371,2007,0,0,0,0,0,0
371,2008,0,0,0,0,0,0
371,2009,0,0,0,0,0,0
371,2010,0,0,0,0,0,0
371,2011,0,0,0,0,0,0
373,2005,0,0,0,0,0,0
373,2006,0,0,0,0,0,0
373,2007,0,0,0,0,0,0
373,2008,0,0,0,1,1,1
373,2009,0,0,0,0,0,0
373,2010,0,0,0,0,0,0
373,2011,0,0,0,0,0,0
374,2004,0,0,0,0,0,0
374,2005,0,0,0,0,0,0
374,2006,0,0,0,0,0,0
374,2007,0,0,0,0,0,0
374,2008,0,0,0,0,0,0
374,2009,0,0,0,1,0,0
374,2010,0,0,0,1,0,0
374,2011,0,0,0,1,1,0
378,2003,1,1,1,1,1,1
378,2004,0,0,1,0,0,1
378,2005,0,0,1,0,0,1
378,2006,0,0,0,0,0,0
378,2007,0,0,0,0,0,0
378,2008,0,0,0,0,0,0
378,2009,0,0,0,0,0,0
378,2010,0,0,0,0,0,0
378,2011,0,0,0,0,0,0
380,2003,1,1,1,1,1,1
380,2004,1,1,1,1,1,1
380,2005,1,1,1,1,1,1
380,2006,0,0,1,0,0,0
380,2007,0,0,1,0,0,0
380,2008,0,0,1,0,0,0
380,2009,0,0,1,0,0,0
380,2010,0,0,1,0,0,0
380,2011,0,0,1,0,0,0
383,2003,0,0,0,0,0,0
383,2004,0,0,0,0,0,0
383,2005,0,0,0,0,0,0
383,2006,0,0,0,0,0,0
383,2007,0,0,0,0,0,0
383,2008,0,0,0,0,0,0
383,2009,0,0,0,0,0,0
383,2010,0,0,0,0,0,0
383,2011,0,0,0,0,0,0
387,2011,0,0,0,0,0,0
390,2003,0,0,0,0,0,0
390,2004,0,0,0,0,0,0
390,2005,0,0,0,0,0,0
390,2006,0,0,0,0,0,0
390,2007,0,0,0,0,0,0
390,2008,0,0,0,0,0,0
390,2009,0,0,0,0,0,0
390,2010,0,0,0,0,0,0
390,2011,0,0,0,0,0,0
392,2003,1,0,0,0,0,1
392,2004,0,0,0,0,0,0
392,2005,0,0,0,0,0,0
