start_date,end_date,"station id",lat,lon,elev
1979/10/01,2100/01/01,570,40.65,-115.38,7700
2009/05/18,2100/01/01,1140,34.46,-111.38,7700
2002/10/01,2100/01/01,1039,40.28,-111.61,7702
1979/10/01,2100/01/01,860,44.53,-111.41,7710
1985/10/01,2100/01/01,555,43.25,-110.02,7740
1999/08/02,2100/01/01,971,40.93,-111.81,7740
1988/10/01,2100/01/01,609,44.59,-111.12,7750
2009/07/07,2100/01/01,1136,41.32,-116.34,7750
1978/10/01,2100/01/01,625,43.63,-107.18,7760
1978/10/01,2100/01/01,730,42.51,-110.91,7760
1978/10/01,2100/01/01,830,43.63,-115.44,7770
2010/07/12,2100/01/01,1146,39.35,-112.19,7772
1978/10/01,2100/01/01,514,37.49,-112.58,7787
1978/10/01,2100/01/01,448,44.79,-112.06,7800
1979/10/01,2100/01/01,850,46.27,-113.16,7800
1985/10/01,2100/01/01,509,42.15,-110.68,7840
1984/10/01,2100/01/01,328,44.95,-111.36,7850
1978/10/01,2100/01/01,407,45.19,-109.35,7850
1978/10/01,2100/01/01,577,44.21,-110.67,7850
1988/10/01,2100/01/01,741,42.52,-111.96,7850
1983/10/01,2100/01/01,866,33.76,-109.48,7850
2001/10/01,2100/01/01,1015,41.4,-107.26,7850
2011/06/22,2100/01/01,1137,39.45,-115.98,7860
1980/10/01,2100/01/01,384,44.72,-110.51,7870
1979/10/01,2100/01/01,377,44.79,-107.53,7880
1978/10/01,2100/01/01,615,39.16,-119.9,7880
1979/10/01,2100/01/01,720,40.55,-110.69,7889
1979/10/01,2100/01/01,320,43.74,-113.94,7900
1978/10/01,2100/01/01,389,42.73,-106.32,7900
1979/10/01,2100/01/01,527,40.94,-115.1,7900
1979/10/01,2100/01/01,601,43.82,-114.26,7900
1979/10/01,2100/01/01,603,45.51,-111.92,7900
1979/10/01,2100/01/01,872,42.28,-105.58,7900
2011/07/26,2100/01/01,1155,39.46,-114.65,7900
1985/10/01,2100/01/01,460,43.13,-110.2,7930
1979/10/01,2100/01/01,705,34.37,-111.01,7930
1978/10/01,2100/01/01,727,45.69,-113.97,7940
1978/10/01,2100/01/01,360,46.56,-111.29,7950
1978/10/01,2100/01/01,374,41.68,-111.42,7950
1978/10/01,2100/01/01,495,38.8,-111.68,7950
1986/10/01,2100/01/01,819,44.03,-109.18,7950
2011/07/29,2100/01/01,1150,39.56,-114.63,7965
1979/10/01,2100/01/01,329,39.14,-111.56,7970
2008/06/02,2100/01/01,1110,36.25,-115.63,7975
1978/10/01,2100/01/01,534,42.32,-113.62,7980
1987/10/01,2100/01/01,816,44.37,-110.58,7980
1993/10/01,2100/01/01,902,33.69,-109.22,7990
1998/07/22,2100/01/01,931,44.58,-107.2,7990
1978/10/01,2100/01/01,332,41.38,-111.94,8000
1978/10/01,2100/01/01,432,40.36,-111.09,8000
1978/10/01,2100/01/01,474,40.97,-111.81,8000
1978/10/01,2100/01/01,486,33.74,-108.95,8000
1978/10/01,2100/01/01,503,40.38,-115.53,8000
1979/10/01,2100/01/01,524,44.02,-113.47,8000
1978/10/01,2100/01/01,592,37.51,-113.4,8000
1978/10/01,2100/01/01,722,46.36,-112.26,8000
1978/10/01,2100/01/01,813,44.79,-111.71,8000
2009/06/24,2100/01/01,1135,40.98,-110.85,8000
1983/10/01,2100/01/01,443,39.56,-115.84,8033
1978/10/01,2100/01/01,435,40.29,-111.26,8037
1978/10/01,2100/01/01,321,41.83,-115.45,8040
1979/10/01,2100/01/01,765,42.49,-110.53,8060
1979/10/01,2100/01/01,686,39.93,-111.63,8066
1978/10/01,2100/01/01,484,42.05,-111.6,8085
1978/10/01,2100/01/01,453,40.89,-115.2,8100
1978/10/01,2100/01/01,576,44.99,-113.44,8100
1980/10/01,2100/01/01,725,46.09,-110.43,8100
1978/10/01,2100/01/01,754,45.4,-110.96,8100
1978/10/01,2100/01/01,781,46.78,-110.62,8100
1978/10/01,2100/01/01,795,40.19,-111.22,8123
1978/10/01,2100/01/01,820,40.43,-111.62,8140
